Name,Address,Parent Location
مركز البيانات الرئيسي,شارع الجلاء، وسط البلد، القاهرة,
غرفة الخوادم 1,شارع الجلاء، وسط البلد، القاهرة,مركز البيانات الرئيسي
غرفة المراقبة,شارع الجلاء، وسط البلد، القاهرة,مركز البيانات الرئيسي
مركز العمليات الشبكية,شارع طلعت حرب، وسط البلد، القاهرة,
مركز خدمة العملاء,شارع الهرم، الجيزة,
فرع الإسكندرية,شارع الكورنيش، الإسكندرية,
فرع المنصورة,شارع الجمهورية، المنصورة، الدقهلية,
فرع أسيوط,شارع صلاح سالم، أسيوط,
مستودع قطع الغيار,الطريق الدائري، مدينة نصر، القاهرة,
برج الاتصالات 1,كورنيش النيل، المعادي، القاهرة,
برج الاتصالات 2,شارع السد العالي، أسوان,
