ID,Name,Address,Parent Location,Workers,Teams names,Vendors,Contractors
,Data Center 1,123 Tech Way,,,,,,
,Network Operations Center (NOC),123 Tech Way,Data Center 1,,,,,
,Server Room 1,123 Tech Way,Data Center 1,,,,,
,Server Room 2,123 Tech Way,Data Center 1,,,,,
,Cell Tower 1,456 Cellular Ave,,,,,,
,Base Station,456 Cellular Ave,Cell Tower 1,,,,,
,Antenna Array,456 Cellular Ave,Cell Tower 1,,,,,
,Customer Site A,789 Business Rd,,,,,,
,IDF Room,789 Business Rd,Customer Site A,,,,,
,Security Operations Center (SOC),123 Tech Way,Data Center 1,,,,,
,Video Surveillance Room,123 Tech Way,SOC,,,,,
,Access Control Room,123 Tech Way,SOC,,,,,

