ID,Name,Unit,Update Frequency,Category,Location Name,Assigned To
,Router CPU Usage,%,3,Network Performance,Network Operations Center (NOC),Network Engineer
,Switch Port Error Rate,Errors/sec,2,Network Performance,Server Room 1,Network Engineer
,Server Temperature,Celsius,7,Environment,Server Room 1,System Administrator
,CCTV Camera Uptime,Hours,2,Security,Video Surveillance Room,Security Officer
,Access Control Events,Events/day,2,Security,Access Control Room,Security Officer
,Cell Tower Signal Strength,dBm,1,Cellular Performance,Cell Tower 1,Field Technician
,Base Station Power Consumption,Watts,7,Power,Base Station,Field Technician
,Fiber Optic Link Loss,dB,2,Network Performance,Data Center 1,Cabling Technician
,UPS Battery Charge,%,7,Power,Server Room 1,Electrician
,AI Server GPU Usage,%,5,Performance,Network Operations Center (NOC),AI Specialist

